Title,Publication Year,Cover URL

Immortal Thor (2023) #13,2024,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/66212be9a28b0.jpg
IMMORTAL THOR ANNUAL #1 [IW] (2024) #1,2024,http://i.annihil.us/u/prod/marvel/i/mg/c/60/66212bee4e8eb.jpg
Immortal Thor (2023) #12,2024,http://i.annihil.us/u/prod/marvel/i/mg/7/50/66634dee659e4.jpg
Spider-Boy (2023) #7,2024,http://i.annihil.us/u/prod/marvel/i/mg/9/30/664b9dcc4a503.jpg
Immortal Thor (2023) #11,2024,http://i.annihil.us/u/prod/marvel/i/mg/c/90/663e5c3bcf57b.jpg
Immortal Thor (2023) #10,2024,http://i.annihil.us/u/prod/marvel/i/mg/9/60/65d73ab3b52d9.jpg
Roxxon Presents: Thor (2024) #1,2024,http://i.annihil.us/u/prod/marvel/i/mg/d/70/66154137083f4.jpg
Immortal Thor (2023) #9,2024,http://i.annihil.us/u/prod/marvel/i/mg/d/90/6601d30843867.jpg
Immortal Thor (2023) #8,2024,http://i.annihil.us/u/prod/marvel/i/mg/1/90/65e739558771d.jpg
Immortal Thor (2023) #7,2024,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/65ca4d4f0d207.jpg
Avengers United Infinity Comic (2023) #17,2024,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/657227170eee7.jpg
Alligator Loki Infinity Comic (2022) #33,2024,http://i.annihil.us/u/prod/marvel/i/mg/3/30/657cb4010c469.jpg
Avengers United Infinity Comic (2023) #16,2024,http://i.annihil.us/u/prod/marvel/i/mg/3/60/6564c2561c73b.jpg
Immortal Thor (2023) #6,2024,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/65a93b2d5f249.jpg
Avengers United Infinity Comic (2023) #15,2024,http://i.annihil.us/u/prod/marvel/i/mg/c/03/656755457b0e2.jpg
Avengers United Infinity Comic (2023) #14,2024,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/6564a40ac0fc7.jpg
Avengers United Infinity Comic (2023) #13,2024,http://i.annihil.us/u/prod/marvel/i/mg/a/90/655788bf7e3df.jpg
Avengers United Infinity Comic (2023) #12,2023,http://i.annihil.us/u/prod/marvel/i/mg/9/80/65453b8fc3ea4.jpg
Avengers United Infinity Comic (2023) #11,2023,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/6536a70f15400.jpg
Avengers United Infinity Comic (2023) #10,2023,http://i.annihil.us/u/prod/marvel/i/mg/a/03/6526b186a6464.jpg
Immortal Thor (2023) #5,2023,http://i.annihil.us/u/prod/marvel/i/mg/3/90/6596e26b0f153.jpg
Avengers United Infinity Comic (2023) #9,2023,http://i.annihil.us/u/prod/marvel/i/mg/4/03/6526b186a6314.jpg
Avengers United Infinity Comic (2023) #8,2023,http://i.annihil.us/u/prod/marvel/i/mg/9/70/65240ce753fec.jpg
Avengers United Infinity Comic (2023) #7,2023,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/651c3e3b55c03.jpg
Avengers United Infinity Comic (2023) #6,2023,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/650db83c10063.jpg
Immortal Thor (2023) #4,2023,http://i.annihil.us/u/prod/marvel/i/mg/6/60/654bb06c2396e.jpg
Avengers United Infinity Comic (2023) #4,2023,http://i.annihil.us/u/prod/marvel/i/mg/7/30/64fb86722f83f.jpg
Avengers United Infinity Comic (2023) #3,2023,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/64ef574621e8a.jpg
Immortal Thor (2023) #3,2023,http://i.annihil.us/u/prod/marvel/i/mg/6/10/654bb155d64d0.jpg
Thor By Jason Aaron Omnibus Vol. 2 (Hardcover),2023,http://i.annihil.us/u/prod/marvel/i/mg/c/c0/65382dd6cc8af.jpg
Avengers United Infinity Comic (2023) #2,2023,http://i.annihil.us/u/prod/marvel/i/mg/7/20/64e6398fc6c33.jpg
Immortal Thor (2023) #2,2023,http://i.annihil.us/u/prod/marvel/i/mg/8/03/65299043f1a45.jpg
Loki: The God Who Fell to Earth Infinity Comic (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/650c4b7d3bd1a.jpg
Loki: The God Who Fell to Earth Infinity Comic (2023) #8,2023,http://i.annihil.us/u/prod/marvel/i/mg/c/80/650d917e2dbfd.jpg
Thor By Donny Cates Vol. 6: Blood Of The Fathers (Trade Paperback),2023,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/650db4a2d5542.jpg
Loki: The God Who Fell to Earth Infinity Comic (2023) #2,2023,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/650c4fa52b1c5.jpg
Marvel Masterworks: The Mighty Thor Vol. 22 (Hardcover),2023,http://i.annihil.us/u/prod/marvel/i/mg/9/80/650ae95f2be81.jpg
Alligator Loki (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/e/03/65299100e97a7.jpg
Immortal Thor (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/2/10/64ecae233fbfb.jpg
Avengers Unlimited Infinity Comic (2022) #59,2023,http://i.annihil.us/u/prod/marvel/i/mg/9/00/64a835bdd35b0.jpg
Thor By Donny Cates Vol. 5: The Legacy Of Thanos (Trade Paperback),2023,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/64a5747c907f2.jpg
Thor Annual (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/1/20/6494a88620a97.jpg
Thor (2020) #35,2023,http://i.annihil.us/u/prod/marvel/i/mg/6/50/6494a8cb640b3.jpg
Thor (2020) #34,2023,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/646b6a2ec150d.jpg
Thor Epic Collection: Even An Immortal Can Die (Trade Paperback),2023,http://i.annihil.us/u/prod/marvel/i/mg/c/c0/64492cf45dcfc.jpg
Thor (2020) #33,2023,http://i.annihil.us/u/prod/marvel/i/mg/d/80/64511169c0694.jpg
Thor (2020) #32,2023,http://i.annihil.us/u/prod/marvel/i/mg/4/20/641e08897a77b.jpg
Thor (2020) #31,2023,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/63f4e9c2b5ef5.jpg
Thor (2020) #30,2023,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/63d28f706e246.jpg
Avengers (2018) #64,2023,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/63b4782b31250.jpg
T.E.S.T. Kitchen Infinity Comic (2022) #4,2022,http://i.annihil.us/u/prod/marvel/i/mg/1/d0/6361759699b8e.jpg
Thor (2020) #29,2022,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/63863ccc97045.jpg
Avengers Unlimited Infinity Comic (2022) #23,2022,http://i.annihil.us/u/prod/marvel/i/mg/2/80/6351c1f31a036.jpg
Thor Epic Collection: Blood And Thunder (Trade Paperback),2022,http://i.annihil.us/u/prod/marvel/i/mg/3/80/638523d843d1d.jpg
Thor (2020) #28,2022,http://i.annihil.us/u/prod/marvel/i/mg/1/40/634f648596d42.jpg
Hulk Vs. Thor: Banner Of War  (Trade Paperback),2022,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/634d57a98bda4.jpg
Jane Foster & the Mighty Thor (2022) #5,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/60/633cefc2f1e37.jpg
Thor (2020) #27,2022,http://i.annihil.us/u/prod/marvel/i/mg/6/00/631b3505baf49.jpg
Avengers Forever (2021) #8,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/f0/630507910522f.jpg
"Avengers 1,000,000 BC (2022) #1",2022,http://i.annihil.us/u/prod/marvel/i/mg/9/70/62f3c6a4b53d9.jpg
Jane Foster & the Mighty Thor (2022) #3,2022,http://i.annihil.us/u/prod/marvel/i/mg/9/50/62ed839be131c.jpg
Avengers Unlimited Infinity Comic (2022) #6,2022,http://i.annihil.us/u/prod/marvel/i/mg/9/50/62bf34456dee0.jpg
Thor By Donny Cates Vol. 4: God Of Hammers (Trade Paperback),2022,http://i.annihil.us/u/prod/marvel/i/mg/c/20/62dac5ca5d357.jpg
Avengers (2018) #57,2022,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/62b9e0de53718.jpg
Avengers Unlimited Infinity Comic (2022) #2,2022,http://i.annihil.us/u/prod/marvel/i/mg/7/80/629f7ff23856e.jpg
Jane Foster & the Mighty Thor (2022) #2,2022,http://i.annihil.us/u/prod/marvel/i/mg/3/30/62b9e0725e403.jpg
Strange Tales: Thor & Jane Foster Infinity Comic (2022) #1,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/70/62a1f4c5c8ce7.jpg
Thor: The Saga Of Gorr The God Butcher (Trade Paperback),2022,http://i.annihil.us/u/prod/marvel/i/mg/6/30/62b5f83107a6c.jpg
Thor: Lightning and Lament (2022) #1,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/20/62b9e0abe47c3.jpg
Thor: God of Thunder - The God Butcher Infinity Comic (2022) #3,2022,http://i.annihil.us/u/prod/marvel/i/mg/7/60/6287bd87e66a7.jpg
Thor: God of Thunder - The God Butcher Infinity Comic (2022) #5,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/6287bd87ecc3c.jpg
Thor: God of Thunder - The God Butcher Infinity Comic (2022) #7,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/90/6287bd9adce23.jpg
